8 7.1327  4.8253
7 6.651 4.8254
6 6.1775  4.8267
5 5.7404  4.8301
4 5.3337  4.8313
3 5.0086  4.8279
2 4.8086  4.8291
1 4.9472  4.8279
0 6.0091  4.8291
